timestamp,buy,sell,qty,stp,mini_uptrend,major_uptrend,major_downtrend,above_average_volume,below_average_volume,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,macd_above_signal,high_rsi,low_rsi,high_buyers,high_sellers,high_close,low_close,below_projection,above_projection,volatility_high,volatility_low,pred,filled_timestamp,pl,result
3/2/22 1:50,4319.25,4308.5,3,4308.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,3/2/22 1:55,-32.25,0
3/2/22 1:50,4315.75,4308.5,4,4308.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,3/2/22 1:55,-29,0
3/2/22 5:50,4334.75,4337.75,4,4329,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,99,3/2/22 5:55,12,1
3/2/22 5:50,4337.75,4340.75,3,4329,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,99,3/2/22 5:55,9,1
3/2/22 6:15,4337.5,4341.75,2,4320.5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,99,3/2/22 6:20,8.5,1
3/2/22 7:25,4339.75,4333.5,3,4333.5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,99,3/2/22 7:30,-18.75,0
3/2/22 7:25,4337.5,4333.5,4,4333.5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,99,3/2/22 7:30,-16,0
3/2/22 20:55,4380.5,4382.75,3,4374,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,99,3/2/22 21:00,6.75,1
3/3/22 2:35,4390,4385,4,4385,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,99,3/3/22 2:45,-20,0
3/3/22 3:15,4381.75,4385.75,4,4373.75,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,99,3/3/22 3:40,16,1
3/3/22 3:15,4389.75,4393.75,2,4373.75,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,99,3/3/22 3:35,8,1
3/3/22 3:15,4385.75,4389.75,3,4373.75,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,99,3/3/22 3:40,12,1
3/3/22 4:25,4381.75,4386,2,4364.75,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,99,3/3/22 5:20,8.5,1
3/3/22 6:50,4380,4382.75,3,4371.5,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,99,3/3/22 6:55,8.25,1
3/3/22 3:15,4393.75,4397.75,1,4373.75,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,99,3/3/22 3:35,4,1
3/3/22 19:10,4365,4355.75,4,4355.75,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,99,3/3/22 19:15,-37,0
3/3/22 21:45,4329.25,4333.25,4,4320.75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,99,3/3/22 21:55,16,1
3/3/22 21:45,4333.25,4337.5,3,4320.75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,99,3/3/22 21:55,12.75,1
3/3/22 22:50,4324.5,4327.5,4,4318.5,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,99,3/3/22 22:55,12,1
3/3/22 21:45,4337.5,4341.75,2,4320.75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,99,3/3/22 21:55,8.5,1
3/3/22 21:45,4341.75,4346,1,4320.75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,99,3/3/22 21:50,4.25,1
3/4/22 1:55,4346.25,4349,3,4338.5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,99,3/4/22 2:20,8.25,1
3/4/22 3:00,4353.75,4356.75,1,4338.75,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,3/4/22 3:05,3,1
3/4/22 3:00,4350.75,4353.75,2,4338.75,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,3/4/22 3:10,6,1
3/4/22 3:00,4344.75,4347.75,4,4338.75,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,3/4/22 3:45,12,1
3/4/22 3:00,4347.75,4338.75,3,4338.75,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,3/4/22 3:40,-27,0
3/4/22 4:35,4329.5,4334.5,3,4315,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,99,3/4/22 4:40,15,1
3/4/22 4:35,4334.5,4339.5,2,4315,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,99,3/4/22 4:40,10,1
3/4/22 4:35,4339.5,4344.25,1,4315,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,99,3/4/22 4:40,4.75,1
3/4/22 6:10,4329,4334,3,4314,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,99,3/4/22 6:20,15,1
3/4/22 6:10,4334,4339,2,4314,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,99,3/4/22 6:15,10,1
3/4/22 7:15,4320.5,4324.5,4,4312,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,99,3/4/22 7:30,16,1
3/4/22 7:55,4329,4333.75,1,4304.75,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,3/4/22 8:20,4.75,1
3/6/22 19:15,4280,4284.25,2,4262.75,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,99,3/6/22 19:20,8.5,1
3/6/22 19:15,4275.75,4280,3,4262.75,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,99,3/6/22 19:30,12.75,1
3/6/22 19:15,4271.5,4275.75,4,4262.75,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,99,3/6/22 19:45,17,1
3/6/22 20:15,4266.25,4270.75,3,4252.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,3/6/22 20:35,13.5,1
3/6/22 21:20,4268,4270,2,4259.25,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,3/6/22 21:35,4,1
3/6/22 21:20,4265.75,4268,3,4259.25,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,3/6/22 21:35,6.75,1
3/6/22 20:15,4270.75,4275.5,2,4252.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99,3/6/22 20:20,9.5,1
3/7/22 1:20,4278.5,4283.5,2,4258.75,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,3/7/22 1:25,10,1
3/7/22 5:10,4272,4276.5,1,4249,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99,3/7/22 5:15,4.5,1
3/7/22 5:10,4267.5,4272,2,4249,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99,3/7/22 5:35,9,1
3/7/22 5:10,4262.75,4267.5,3,4249,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99,3/7/22 6:05,14.25,1
3/7/22 5:10,4258.25,4262.75,4,4249,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99,3/7/22 6:10,18,1
3/7/22 6:15,4264.5,4269.5,2,4245.5,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,99,3/7/22 6:20,10,1
3/7/22 6:35,4268.25,4272.5,1,4247.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,3/7/22 6:40,4.25,1
3/7/22 21:15,4219.5,4222,2,4210,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,99,3/7/22 21:25,5,1
3/7/22 21:15,4217.25,4219.5,3,4210,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,99,3/7/22 21:45,6.75,1
3/7/22 21:15,4214.75,4210,4,4210,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,99,3/7/22 21:50,-19,0
