timestamp,buy,sell,qty,stp,sd,trend,weekday,day,hour,minute,level,volume,vloc,vtrend,rsi,macd_line,mac_d_signal,low_loc,high_loc,close_loc,imbalance,filled_timestamp,pl,result
10/24/22 9:50,3775.75,3760.5,4,3760.5,5.07948189,-0.634615385,0,24,9,50,-2,44251,1.454253538,903.2,59.50413223,1.031062122,1.675675484,-0.891700445,4.85851738,0.615220227,0.547553628,10/24/22 10:05,-61,loss
10/24/22 11:40,3790,3796.5,1,3750.25,6.592975766,1.390734266,0,24,11,40,1,14166,-0.798362679,-603.3,61.78861789,2.158226978,0.501438129,0.323600385,2.017338569,1.317690267,0.294708,10/24/22 11:45,6.5,win
10/24/22 11:40,3783.25,3790,2,3750.25,6.592975766,1.390734266,0,24,11,40,0,14166,-0.798362679,-603.3,61.78861789,2.158226978,0.501438129,0.323600385,2.017338569,1.317690267,0.294708,10/24/22 11:50,13.5,win
10/24/22 12:45,3800.25,3804.75,2,3779,4.275270227,0.572552448,0,24,12,45,0,11387,0.071205985,789,65.80645161,5.384755921,5.111774091,-0.694744139,0.562781565,0.443441755,-0.377775342,10/24/22 12:50,9,win
10/24/22 12:45,3791.75,3796,4,3779,4.275270227,0.572552448,0,24,12,45,-2,11387,0.071205985,789,65.80645161,5.384755921,5.111774091,-0.694744139,0.562781565,0.443441755,-0.377775342,10/24/22 13:20,17,win
10/24/22 12:45,3796,3800.25,3,3779,4.275270227,0.572552448,0,24,12,45,-1,11387,0.071205985,789,65.80645161,5.384755921,5.111774091,-0.694744139,0.562781565,0.443441755,-0.377775342,10/24/22 13:05,12.75,win
10/24/22 14:55,3803,3809.25,2,3772.25,6.157458823,1.611013986,0,24,14,55,0,7020,0.079371483,67.4,95.83333333,4.117838129,2.551285179,1.356518666,1.953102791,1.465025361,-0.781957517,10/24/22 15:55,12.5,win
10/24/22 18:15,3806.25,3808.25,2,3796,2.04865068,-0.326923077,0,24,18,15,0,768,-0.249856868,-27.8,36.66666667,-0.60530012,-0.147216533,-0.349308422,0.728557567,0.406771804,0.394512178,10/24/22 18:20,4,win
10/24/22 16:00,3804,3809.25,4,3788.75,5.085630372,-1.138111888,0,24,16,0,-2,15048,2.296278888,2697.8,36.43410853,2.604219782,4.170075658,-2.490991501,-0.699525011,-0.884846061,1.539720338,10/24/22 16:40,21,win
10/24/22 16:00,3809.25,3814.25,3,3788.75,5.085630372,-1.138111888,0,24,16,0,-1,15048,2.296278888,2697.8,36.43410853,2.604219782,4.170075658,-2.490991501,-0.699525011,-0.884846061,1.539720338,10/24/22 16:05,15,win
10/24/22 14:55,3809.25,3815.25,1,3772.25,6.157458823,1.611013986,0,24,14,55,1,7020,0.079371483,67.4,95.83333333,4.117838129,2.551285179,1.356518666,1.953102791,1.465025361,-0.781957517,10/24/22 15:50,6,win
10/24/22 19:20,3806,3808.75,4,3798.25,2.640287359,0.625,0,24,19,20,-2,633,-0.514862502,51.9,66.66666667,1.686063937,1.154289758,0.302079271,1.043546574,0.339293877,-1.861767281,10/24/22 20:05,11,win
10/24/22 19:20,3811.25,3814,2,3798.25,2.640287359,0.625,0,24,19,20,0,633,-0.514862502,51.9,66.66666667,1.686063937,1.154289758,0.302079271,1.043546574,0.339293877,-1.861767281,10/24/22 19:35,5.5,win
10/24/22 19:20,3808.75,3811.25,3,3798.25,2.640287359,0.625,0,24,19,20,-1,633,-0.514862502,51.9,66.66666667,1.686063937,1.154289758,0.302079271,1.043546574,0.339293877,-1.861767281,10/24/22 19:50,7.5,win
